"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, -4.500000000000000e-01, 3.000000000000000e-01, 9.236827540860586e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.989202402478446e+06, 7.956809609913784e+05, 3.000865127176032e+02, 0.000000000000000e+00, 1.198204711801579e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.846325577696361e-05, 2.974722706528026e+00, 0.000000000000000e+00, -3.664141520087995e-01, 2.235823776277293e+02
1, 0.000000000000000e+00, 3.000000000000000e-01, 8.692153957738523e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.009726771122566e+06, 8.038907084490265e+05, 3.221810141712346e+02, 0.000000000000000e+00, 1.212344753915764e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.949036288686367e-05, -1.365620134771424e-02, 2.205524624496212e-03, 2.119533106470447e-01, 1.786614858161642e+01
2, 5.000000000000000e-01, 1.000000000000000e-01, 8.327465358216642e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.971340881468475e+06, 7.885363525873899e+05, 3.298672730606143e+02, 0.000000000000000e+00, 1.185899209806186e+08, 0.000000000000000e+00, 0.000000000000000e+00, 1.983946264362686e-05, 1.280972026887062e+01, -6.563383462110602e+00, -1.331966226676957e+01, 4.293723929657773e+02
3, 7.000000000000000e-01, 5.000000000000000e-02, 2.512027378024489e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.789370550433749e+05, 2.315748220173499e+05, 3.211421539091922e+02, 0.000000000000000e+00, 2.266176315519387e+07, 0.000000000000000e+00, 0.000000000000000e+00, 1.944286283072980e-05, 1.259925914902292e+02, 2.220748595432340e+01, -1.691542743113878e+02, 5.674814901732276e+02
4, 1.300000000000000e+00, 2.300000000000000e-01, 6.709929528277744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.593140129723297e+05, 6.372560518893186e+04, 3.308463554586833e+02, 0.000000000000000e+00, -6.247713135405361e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.988363875872807e-05, -2.801585558520582e+01, -5.140427786736517e+00, 4.844157749140662e-01, 1.383475467707044e+02
5, 1.700000000000000e+00, 2.500000000000000e-01, 6.683164411382642e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.643968251550105e+05, 6.575873006200419e+04, 3.427690631853707e+02, 0.000000000000000e+00, -5.897538279516721e+06, 0.000000000000000e+00, 0.000000000000000e+00, 2.041642208715435e-05, -4.445647672259581e+01, 5.041724740063196e-02, -3.433295165940708e+01, 2.266314037255287e+02
6, 3.000000000000000e+00, 2.500000000000000e-01, 1.071971991611450e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.280069252944062e+05, 9.120277011776245e+04, 2.963841238374292e+02, 0.000000000000000e+00, -1.515189129321208e+06, 0.000000000000000e+00, 0.000000000000000e+00, 1.828756459925454e-05, -3.222696565095107e-01, -3.998017066726814e-01, -2.714209812555390e+00, 5.628971245616825e+01
7, 3.000000000000000e+00, 2.500000000000000e+00, 1.185279718731073e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.572926346360726e+05, 1.029170538544290e+05, 3.024801205644652e+02, 0.000000000000000e+00, 5.024181872068110e+05, 0.000000000000000e+00, 0.000000000000000e+00, 1.857627991738532e-05, 2.764137553937638e-02, 1.291386475183189e-02, 4.786299831846638e-01, 1.725144502669027e+01
8, 1.300000000000000e+01, 2.500000000000000e+00, 1.161187163293114e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.499937335705060e+05, 9.999749342820239e+04, 2.999972219921631e+02, 0.000000000000000e+00, -4.317188922470638e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845903106372047e-05, -2.278908754192305e-03, 0.000000000000000e+00, 1.090935746985388e-03, 1.061732796041247e+01
9, 1.300000000000000e+01, -2.500000000000000e+00, 1.161184197522834e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.499931511227743e+05, 9.999726044910972e+04, 2.999972892623015e+02, 0.000000000000000e+00, -4.718459996779885e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845903424677909e-05, -2.195926219373088e-03, 0.000000000000000e+00, 9.474779322136376e-04, 1.042221449190260e+01
